Region,Province,District,ContractID,Contractor,Road(KM),Bridge(M),Structure(M),Cost(USD),ContractSignDate,PlanStartDate,ActualStartDate,PlanCompletionDate,ActualCompletionDate,Status,LabourDay,PhysicalProgress,StatusID,ProjectID,ContractTypeID,Project,ContractorID,DistrictID,ProvinceID,SurfaceOption
Kabul,Panjsheer,Rukha,RRD/TF/NERAP/KBL/PJR/035/C1/001,Community,0.5,,115,37250.92,19-Sep-11,19-Sep-11,19-Sep-11,30-Nov-11,20-Aug-12,Completed,1100,100,4,17,2,NERAP - MRRD - TF,2,78,9,Gravelling
Kabul,Panjsheer,Rukha,RRD/TF/NERAP/KBL/PJR/035/C1/002,Community,0.5,,115,37250.92,28-Sep-11,28-Sep-11,28-Sep-11,30-Nov-11,20-Aug-12,Completed,2100,100,4,17,2,NERAP - MRRD - TF,2,78,9,Gravelling
Kabul,Panjsheer,Rukha,RRD/TF/NERAP/KBL/PJR/035/C1/003,Community,,,1,19775.2,28-Sep-11,28-Sep-11,28-Sep-11,30-Nov-11,20-Aug-12,Completed,1460,100,4,17,2,NERAP - MRRD - TF,2,78,9,Gravelling
Kabul,Panjsheer,Rukha,RRD/TF/NERAP/KBL/PJR/035/C1/004,Community,,,1470,39403,28-Sep-11,28-Sep-11,28-Sep-11,30-Nov-11,20-Aug-12,Completed,1500,100,4,17,2,NERAP - MRRD - TF,2,78,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/068/C1/001,Community,2,,127.9,42959.58,13-Jul-13,18-Aug-13,1-Aug-13,19-Nov-13,30-Dec-13,Completed,3276,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/068/C1/002,Community,1,,,42844.06,13-Jul-13,18-Aug-13,1-Aug-13,19-Nov-13,30-Dec-13,Completed,3131,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/068/C1/003,Community,1,,107.5,43333.89,13-Jul-13,18-Aug-13,1-Aug-13,19-Nov-13,30-Dec-13,Completed,2677,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/068/C1/004,Community,2,,158.6,44036.21,26-May-13,18-Aug-13,20-Jul-13,19-Nov-13,30-Dec-13,Completed,2998,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/068/C1/005,Community,1.2,,145.85,43132.28,13-Jul-13,18-Aug-13,1-Aug-13,19-Nov-13,30-Dec-13,Completed,2380,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/069/C1/001,Community,3,,146.35,44986.58,9-Jun-13,9-Jun-13,13-Jul-13,12-Sep-13,25-Dec-13,Completed,2289,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/069/C1/002,Community,2.9,,1.35,44999.52,9-Jun-13,9-Jun-13,13-Jul-13,12-Sep-13,25-Dec-13,Completed,3653,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/069/C1/003,Community,4.1,,111.25,44671.05,9-Jun-13,9-Jun-13,13-Jul-13,12-Sep-13,25-Dec-13,Completed,2037,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Panjsheer,Hisa-I-Awali Panjsher,RRD/TF/NERAP/KBL/PJR/069/C1/004,Community,2.9,,272.25,44685.06,9-Jun-13,9-Jun-13,13-Jul-13,12-Sep-13,25-Dec-13,Completed,2137,100,4,17,2,NERAP - MRRD - TF,2,80,9,Gravelling
Kabul,Parwan,Jabalussaraj,RRD/TF/NERAP/KBL/PRN/010/C2/001,Farshad Sayed Khaili Construction Company,3.67,,53.4,88091.68,8-Aug-10,8-Aug-10,8-Aug-10,4-Feb-11,1-Nov-12,Completed,3689,99.999999,4,17,2,NERAP - MRRD - TF,1422,52,6,Gravelling
Kabul,Parwan,Jabalussaraj,RRD/TF/NERAP/KBL/PRN/026/C1/001,Community,0.5,,67,24351.52,19-Feb-11,10-Mar-11,10-Mar-11,27-May-11,25-Jun-12,Completed,3353,99.99999905,4,17,6,NERAP - MRRD - TF,2,52,6,Gravelling
Kabul,Parwan,Jabalussaraj,RRD/TF/NERAP/KBL/PRN/026/C1/002,Community,0.9,,34.8,22145.6,19-Feb-11,10-Mar-11,10-Mar-11,27-May-11,20-Jun-12,Completed,3550,100.0000015,4,17,6,NERAP - MRRD - TF,2,52,6,Gravelling
Kabul,Parwan,Jabalussaraj,RRD/TF/NERAP/KBL/PRN/026/C1/003,Community,0.88,,52.6,19825.44,19-Feb-11,10-Mar-11,10-Mar-11,27-May-11,25-Feb-13,Completed,3101,99.99999809,4,17,6,NERAP - MRRD - TF,2,52,6,Gravelling
Kabul,Parwan,Shinwari,RRD/TF/NERAP/KBL/PRN/028/C2/001,Golden Mind Construction Company Ltd,6,,3,218251.58,3-Jan-11,10-Jan-11,3-Jan-11,7-Oct-11,1-Jan-12,Completed,9459,100,4,17,2,NERAP - MRRD - TF,1279,54,6,Gravelling
Kabul,Parwan,Sayed Khel,RRD/TF/NERAP/KBL/PRN/029/C1/001,Community,1.5,,5.4,42747.26,23-Sep-13,20-Sep-13,20-Sep-13,20-Dec-13,20-Dec-13,Completed,1955,100,4,17,2,NERAP - MRRD - TF,2,60,6,Gravelling
Kabul,Parwan,Sayed Khel,RRD/TF/NERAP/KBL/PRN/029/C1/002,Community,1,,4.2,31816.51,23-Sep-13,20-Sep-13,20-Sep-13,26-Dec-13,20-Dec-13,Completed,1695,100,4,17,2,NERAP - MRRD - TF,2,60,6,Gravelling
Kabul,Parwan,Sayed Khel,RRD/TF/NERAP/KBL/PRN/032/C2/001,Bahar Construction Company,2,,7.8,118949.14,13-Apr-11,16-Apr-11,16-Apr-11,22-Nov-11,20-Jun-12,Completed,6925,99.99999976,4,17,2,NERAP - MRRD - TF,67,60,6,UTRCP
Kabul,Parwan,Bagram,RRD/TF/NERAP/KBL/PRN/033/C1/001,Community,1.65,,1.8,33884.89,17-Sep-13,23-Sep-13,2-Oct-13,20-Dec-13,19-Dec-13,Completed,1568,100,4,17,2,NERAP - MRRD - TF,2,58,6,Gravelling
